godina,staza,klasa,razlog
1949,Spa-Francorchamps,500cc,klasifikacija prazna
1950,Isle of Man,500cc,klasifikacija prazna
1951,Isle of Man,500cc,klasifikacija prazna
1951,Albi,500cc,klasifikacija prazna
1951,Monza,500cc,klasifikacija prazna
1952,TT Circuit Assen,500cc,klasifikacija prazna
1952,Spa-Francorchamps,500cc,klasifikacija prazna
1952,Solitude,500cc,klasifikacija prazna
1953,Spa-Francorchamps,500cc,klasifikacija prazna
1953,Rouen,500cc,klasifikacija prazna
1954,Solitude,500cc,klasifikacija prazna
1954,Berne,500cc,klasifikacija prazna
1955,Reims,500cc,klasifikacija prazna
1955,Isle of Man,500cc,klasifikacija prazna
1955,TT Circuit Assen,500cc,klasifikacija prazna
1955,Belfast,500cc,klasifikacija prazna
1956,TT Circuit Assen,500cc,klasifikacija prazna
1957,TT Circuit Assen,500cc,klasifikacija prazna
1958,Isle of Man,500cc,klasifikacija prazna
1958,Nurburgring,500cc,klasifikacija prazna
1959,Clermont-Ferrand,500cc,klasifikacija prazna
1959,TT Circuit Assen,500cc,klasifikacija prazna
1960,Isle of Man,500cc,klasifikacija prazna
1960,Solitude,500cc,klasifikacija prazna
1960,Monza,500cc,klasifikacija prazna
1961,Hockenheim,500cc,klasifikacija prazna
1961,Clermont-Ferrand,500cc,klasifikacija prazna
1961,Kristianstad,500cc,klasifikacija prazna
1962,TT Circuit Assen,500cc,klasifikacija prazna
1962,Belfast,500cc,klasifikacija prazna
1963,Isle of Man,500cc,klasifikacija prazna
1963,TT Circuit Assen,500cc,klasifikacija prazna
1963,Spa-Francorchamps,500cc,klasifikacija prazna
1963,Sachsenring,500cc,klasifikacija prazna
1964,Spa-Francorchamps,500cc,klasifikacija prazna
1964,Imatra,500cc,klasifikacija prazna
1964,Monza,500cc,klasifikacija prazna
1965,Spa-Francorchamps,500cc,klasifikacija prazna
1965,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1965,Belfast,500cc,klasifikacija prazna
1965,Monza,500cc,klasifikacija prazna
1966,Hockenheim,500cc,klasifikacija prazna
1966,Sachsenring,500cc,klasifikacija prazna
1966,Imatra,500cc,klasifikacija prazna
1966,Isle of Man,500cc,klasifikacija prazna
1967,Spa-Francorchamps,500cc,klasifikacija prazna
1967,Imatra,500cc,klasifikacija prazna
1968,TT Circuit Assen,500cc,klasifikacija prazna
1968,Sachsenring,500cc,klasifikacija prazna
1968,Imatra,500cc,klasifikacija prazna
1968,Belfast,500cc,klasifikacija prazna
1969,Imatra,500cc,klasifikacija prazna
1970,Nurburgring,500cc,klasifikacija prazna
1970,Sachsenring,500cc,klasifikacija prazna
1970,Belfast,500cc,klasifikacija prazna
1971,Anderstorp,500cc,klasifikacija prazna
1972,Nurburgring,500cc,klasifikacija prazna
1972,Isle of Man,500cc,klasifikacija prazna
1972,Sachsenring,500cc,klasifikacija prazna
1973,Salzburgring,500cc,klasifikacija prazna
1973,Hockenheim,500cc,klasifikacija prazna
1973,Opatija,500cc,klasifikacija prazna
1975,Salzburgring,500cc,klasifikacija prazna
1975,Isle of Man,500cc,klasifikacija prazna
1975,Imatra,500cc,klasifikacija prazna
1975,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1976,Salzburgring,500cc,klasifikacija prazna
1976,Imatra,500cc,klasifikacija prazna
1976,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1976,Nurburgring,500cc,klasifikacija prazna
1977,Hockenheim,500cc,klasifikacija prazna
1977,Paul Ricard,500cc,klasifikacija prazna
1977,Anderstorp,500cc,klasifikacija prazna
1977,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1977,Silverstone Circuit,500cc,klasifikacija prazna
1978,San Carlos,500cc,klasifikacija prazna
1978,Jarama,500cc,klasifikacija prazna
1978,Salzburgring,500cc,klasifikacija prazna
1978,Silverstone Circuit,500cc,klasifikacija prazna
1979,Salzburgring,500cc,klasifikacija prazna
1979,Spa-Francorchamps,500cc,klasifikacija prazna
1979,Silverstone Circuit,500cc,klasifikacija prazna
1980,Imatra,500cc,klasifikacija prazna
1981,Salzburgring,500cc,klasifikacija prazna
1981,Paul Ricard,500cc,klasifikacija prazna
1981,Imola,500cc,klasifikacija prazna
1981,Imatra,500cc,klasifikacija prazna
1981,Anderstorp,500cc,klasifikacija prazna
1982,Anderstorp,500cc,klasifikacija prazna
1982,Hockenheim,500cc,klasifikacija prazna
1983,Kyalami,500cc,klasifikacija prazna
1983,Anderstorp,500cc,klasifikacija prazna
1984,Spa-Francorchamps,500cc,klasifikacija prazna
1985,Silverstone Circuit,500cc,klasifikacija prazna
1986,Nurburgring,500cc,klasifikacija prazna
1987,Monza,500cc,klasifikacija prazna
1987,Jarama,500cc,klasifikacija prazna
1987,Oscar A. Galvez,500cc,klasifikacija prazna
1988,Suzuka,500cc,klasifikacija prazna
1988,Mazda Raceway,500cc,klasifikacija prazna
1988,Salzburgring,500cc,klasifikacija prazna
1988,Autódromo Internacional de Goiânia - Ayrton Senna,500cc,klasifikacija prazna
1989,Misano World Circuit Marco Simoncelli,500cc,klasifikacija prazna
1989,Salzburgring,500cc,klasifikacija prazna
1989,Spa-Francorchamps,500cc,klasifikacija prazna
1989,Le Mans,500cc,klasifikacija prazna
1989,Anderstorp,500cc,klasifikacija prazna
1989,Autódromo Internacional de Goiânia - Ayrton Senna,500cc,klasifikacija prazna
1990,Salzburgring,500cc,klasifikacija prazna
1990,Rijeka,500cc,klasifikacija prazna
1990,Spa-Francorchamps,500cc,klasifikacija prazna
1990,Donington Park,500cc,klasifikacija prazna
1990,Phillip Island,500cc,klasifikacija prazna
1991,Eastern Creek,500cc,klasifikacija prazna
1991,Hockenheim,500cc,klasifikacija prazna
1991,Donington Park,500cc,klasifikacija prazna
1991,Autodromo Internazionale del Mugello,500cc,klasifikacija prazna
1991,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1992,Autodromo Internazionale del Mugello,500cc,klasifikacija prazna
1992,TT Circuit Assen,500cc,klasifikacija prazna
1992,Magny Cours,500cc,klasifikacija prazna
1993,Shah Alam,500cc,klasifikacija prazna
1993,Suzuka,500cc,klasifikacija prazna
1993,Autodromo Internazionale del Mugello,500cc,klasifikacija prazna
1993,Donington Park,500cc,klasifikacija prazna
1993,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1993,Misano World Circuit Marco Simoncelli,500cc,klasifikacija prazna
1994,Eastern Creek,500cc,klasifikacija prazna
1994,Hockenheim,500cc,klasifikacija prazna
1994,TT Circuit Assen,500cc,klasifikacija prazna
1994,Oscar A. Galvez,500cc,klasifikacija prazna
1995,Shah Alam,500cc,klasifikacija prazna
1995,CREDITAS Autodrom Brno,500cc,klasifikacija prazna
1995,Circuit de Barcelona-Catalunya,500cc,klasifikacija prazna
1996,Sentul,500cc,klasifikacija prazna
1996,Autodromo Internazionale del Mugello,500cc,klasifikacija prazna
1996,TT Circuit Assen,500cc,klasifikacija prazna
1996,Donington Park,500cc,klasifikacija prazna
1996,Red Bull Ring - Spielberg,500cc,klasifikacija prazna
1996,Circuit de Barcelona-Catalunya,500cc,klasifikacija prazna
1996,Nelson Piquet,500cc,klasifikacija prazna
1997,Nurburgring,500cc,klasifikacija prazna
1998,Suzuka,500cc,klasifikacija prazna
1998,Johor,500cc,klasifikacija prazna
