year,race_id,circuit,rider_id,rider,country,team,constructor,position,points,classified
1949,1949_01,Isle of Man,6,Harold Daniell,GB,,Norton,1.0,10.0,True
1949,1949_01,Isle of Man,7,John Lockett,GB,,Norton,2.0,8.0,True
1949,1949_01,Isle of Man,8,Ernie Lyons,IE,,Velocette,3.0,7.0,True
1949,1949_01,Isle of Man,5,Artie Bell,IE,,Norton,4.0,6.0,True
1949,1949_01,Isle of Man,12,Sid Jensen,NZ,,Triumph,5.0,5.0,True
1949,1949_01,Isle of Man,15,Fred Stevens,GB,,Triumph,6.0,0.0,True
1949,1949_02,Berne,1,Leslie Graham,GB,,AJS,1.0,10.0,True
1949,1949_02,Berne,3,Arciso Artesiani,IT,,Gilera,2.0,8.0,True
1949,1949_02,Berne,6,Harold Daniell,GB,,Norton,3.0,7.0,True
1949,1949_02,Berne,2,Nello Pagani,IT,,Gilera,4.0,6.0,True
1949,1949_02,Berne,14,Freddie Frith,GB,,Velocette,5.0,5.0,True
1949,1949_02,Berne,23,Guido Leoni,IT,,Moto Guzzi,6.0,0.0,True
1949,1949_03,Assen,2,Nello Pagani,IT,,Gilera,1.0,10.0,True
1949,1949_03,Assen,1,Leslie Graham,GB,,AJS,2.0,8.0,True
1949,1949_03,Assen,3,Arciso Artesiani,IT,,Gilera,3.0,7.0,True
1949,1949_03,Assen,5,Artie Bell,IE,,Norton,4.0,6.0,True
1949,1949_03,Assen,7,John Lockett,GB,,Norton,5.0,5.0,True
1949,1949_03,Assen,6,Harold Daniell,GB,,Norton,6.0,0.0,True
1949,1949_04,Spa-Francorchamps,4,William Doran,GB,,AJS,1.0,10.0,True
1949,1949_04,Spa-Francorchamps,3,Arciso Artesiani,IT,,Gilera,2.0,8.0,True
1949,1949_04,Spa-Francorchamps,9,Enrico Lorenzetti,IT,,Moto Guzzi,3.0,7.0,True
1949,1949_04,Spa-Francorchamps,5,Artie Bell,IE,,Norton,4.0,6.0,True
