,degree,strength,betweenness,closeness,pagerank,eigenvector
Jack Findlay,253,1087,0.1627,0.4652,0.0188,0.0
Giacomo Agostini,240,1074,0.0972,0.4552,0.0176,0.0
Randy Mamola,214,3121,0.0297,0.4506,0.0085,0.0012
Alex Barros,238,5257,0.0807,0.468,0.0084,0.0527
Mike Hailwood,90,320,0.0241,0.3507,0.0081,0.0
Valentino Rossi,172,7447,0.0499,0.3641,0.0076,0.2668
Eddie Lawson,193,3001,0.0107,0.441,0.0075,0.0014
Ron Haslam,185,2591,0.0097,0.4392,0.0067,0.0009
Geoff Duke,62,180,0.0335,0.3624,0.0065,0.0
Barry Sheene,158,1363,0.0194,0.4353,0.0064,0.0001
Mick Doohan,196,2974,0.0226,0.4518,0.0057,0.0099
Wayne Gardner,185,2339,0.0088,0.4369,0.0057,0.0013
Niall Mackenzie,179,2539,0.0115,0.4454,0.0056,0.0029
Carlos Checa,165,3952,0.0242,0.4194,0.0056,0.0597
Alex Criville,180,3168,0.0179,0.4468,0.0055,0.0195
Loris Capirossi,162,4186,0.0414,0.4196,0.0054,0.091
Billie Nelson,107,316,0.0079,0.4079,0.0052,0.0
Boet Van Dulmen,158,1512,0.0149,0.4364,0.0051,0.0002
Raymond Roche,150,1771,0.0021,0.3979,0.0049,0.0003
Norick Abe,161,3115,0.0167,0.4353,0.0049,0.0313
Kevin Schwantz,178,2213,0.0116,0.4492,0.0048,0.0029
Marco Papa,205,2171,0.0284,0.4621,0.0048,0.0029
Kenny Roberts Jr,144,3342,0.0105,0.4103,0.0048,0.048
Marco Lucchinelli,145,1208,0.0103,0.4329,0.0048,0.0001
Christian Sarron,173,1849,0.0151,0.4401,0.0048,0.0007
Wolfgang Von Muralt,136,1746,0.0011,0.3946,0.0047,0.0003
Didier De Radigues,161,1837,0.0066,0.4338,0.0047,0.0005
Aleix Espargaro,112,5502,0.0104,0.319,0.0046,0.2574
Phil Read,102,295,0.0137,0.4015,0.0046,0.0
Reg Armstrong,46,120,0.0158,0.3422,0.0046,0.0
Sete Gibernau,130,3228,0.0035,0.3607,0.0045,0.0485
Andrea Dovizioso,113,5001,0.0113,0.3428,0.0045,0.2339
Nicky Hayden,112,4209,0.0073,0.3477,0.0044,0.15
Jeremy Mcwilliams,159,2637,0.0165,0.4111,0.0043,0.0272
Rob Mcelnea,149,1690,0.0019,0.4143,0.0043,0.0004
Bruno Kneubühler,151,1062,0.08,0.4675,0.0043,0.0003
Fabio Biliotti,141,1591,0.0018,0.4145,0.0042,0.0003
Daniel Pedrosa,126,4288,0.0223,0.3497,0.0041,0.1876
John Surtees,48,130,0.0222,0.3877,0.004,0.0
Colin Edwards,107,3696,0.0062,0.347,0.004,0.1238
Umberto Masetti,42,105,0.0139,0.3474,0.004,0.0
Kenny Roberts,111,958,0.0037,0.4221,0.004,0.0001
Philippe Coulon,116,856,0.007,0.4259,0.0039,0.0
Steve Parrish,135,940,0.0096,0.43,0.0039,0.0001
Wayne Rainey,136,1731,0.0026,0.4167,0.0039,0.0018
Freddie Spencer,176,1332,0.015,0.4362,0.0038,0.0003
Gyula Marsovszky,78,194,0.0096,0.3964,0.0038,0.0
Jorge Lorenzo,100,4050,0.0054,0.341,0.0037,0.1916
Marc Marquez,91,4500,0.0007,0.276,0.0037,0.2143
Max Biaggi,104,2620,0.0009,0.3532,0.0037,0.0381
Franco Uncini,128,1092,0.0016,0.3931,0.0037,0.0001
Simon Buckmaster,151,1467,0.0042,0.4259,0.0036,0.0007
Marco Gentile,137,1417,0.0025,0.4206,0.0036,0.0003
Dickie Dale,46,112,0.0139,0.345,0.0036,0.0
Luca Cadalora,163,1988,0.0285,0.4527,0.0036,0.0088
Cees Doorakkers,148,1665,0.006,0.4392,0.0035,0.0027
Andy Leuthe,156,1481,0.0091,0.441,0.0034,0.0014
Maverick Viñales,81,4191,0.0006,0.2751,0.0034,0.2013
Lucio Pedercini,126,1812,0.0032,0.4213,0.0034,0.0069
Jack Miller,79,4288,0.0006,0.2749,0.0034,0.203
Nobuatsu Aoki,117,2300,0.0021,0.3587,0.0034,0.0301
Cal Crutchlow,102,3788,0.0086,0.3391,0.0033,0.1896
