,degree,strength,betweenness,closeness,pagerank,eigenvector
Honda,44,287,0.1356,0.5865,0.1091,0.5271
Yamaha,49,277,0.1774,0.6177,0.1073,0.5318
Suzuki,50,259,0.1735,0.6123,0.1009,0.5311
Ducati,27,113,0.067,0.5095,0.0455,0.231
Norton,27,87,0.0749,0.5095,0.0407,0.0702
ROC Yamaha,23,78,0.0241,0.4781,0.0303,0.1521
Kawasaki,19,56,0.0502,0.4748,0.0269,0.096
Matchless,19,58,0.0327,0.4781,0.0268,0.063
Aprilia,16,54,0.0071,0.4474,0.0219,0.1059
Harris Yamaha,18,51,0.0117,0.4474,0.0206,0.0961
MV Agusta,17,37,0.032,0.4653,0.0186,0.0322
Cagiva,12,49,0.0015,0.4446,0.0184,0.1334
ART,15,36,0.012,0.439,0.0166,0.0526
Gilera,11,30,0.0096,0.4309,0.015,0.0135
Paton,14,31,0.0065,0.4562,0.013,0.0533
KTM,8,29,0.0011,0.4155,0.012,0.0703
Librenti,15,27,0.0042,0.4592,0.0119,0.033
Modenas KR3,14,21,0.0104,0.4282,0.0117,0.034
Seeley,11,24,0.0041,0.4446,0.0115,0.0318
Jawa-CZ,1,1,0.0,0.0106,0.0113,0.0
Ckb,2,2,0.0,0.0213,0.0113,0.0
Jawa,1,1,0.0,0.0106,0.0113,0.0
Vostok,2,2,0.0,0.0213,0.0113,0.0
Ckeb,2,2,0.0,0.0213,0.0113,0.0
Linto,11,22,0.0009,0.4335,0.0104,0.0227
Rieju,10,18,0.0011,0.4205,0.0084,0.0383
Muz Weber,8,15,0.0002,0.413,0.0072,0.0338
Metisse,8,10,0.0185,0.423,0.0072,0.0093
Proton KR,10,14,0.0012,0.418,0.0071,0.022
Harris WCM,10,12,0.0025,0.418,0.0069,0.0148
Aermacchi,10,11,0.0047,0.4256,0.0068,0.0093
Forward Yamaha,8,13,0.0007,0.418,0.0067,0.0227
AJS,6,10,0.0006,0.3356,0.0064,0.0024
ELF,9,12,0.0017,0.4205,0.0063,0.0173
TSR,8,11,0.0013,0.413,0.0062,0.0197
Moriwaki,5,7,0.0183,0.3988,0.0061,0.009
Chevallier,7,10,0.0007,0.4082,0.0057,0.0221
Ilmor X3,7,10,0.0008,0.4082,0.0057,0.0144
FTR,5,8,0.0023,0.3733,0.0057,0.0082
Moto Guzzi,5,9,0.0001,0.3308,0.0056,0.0024
BQR,5,8,0.0008,0.3733,0.0056,0.007
Yamaha Forward,6,8,0.0102,0.4058,0.0056,0.0143
BMW,7,9,0.002,0.3988,0.0055,0.0055
FTR Kawasaki,7,7,0.0081,0.3966,0.0055,0.008
Elf-Honda,7,10,0.0002,0.4155,0.0054,0.0167
Koenig,7,9,0.0003,0.418,0.0053,0.0096
P,5,8,0.0002,0.4058,0.0047,0.0217
BQR-FTR,4,6,0.0001,0.3262,0.0046,0.0035
Suter,6,7,0.0002,0.4082,0.0045,0.0149
Jada,7,7,0.0,0.4155,0.0045,0.0083
Fior,5,7,0.0001,0.4035,0.0044,0.0178
Pulse,5,5,0.0009,0.4058,0.0041,0.0107
ELF 500,4,7,0.0,0.3598,0.0041,0.0103
KR212V,5,5,0.0001,0.3988,0.004,0.0074
PBM,4,6,0.0,0.3814,0.0039,0.0068
Harley Davidson,3,6,0.0,0.3966,0.0038,0.0177
Ioda-Suter,5,5,0.0,0.3878,0.0038,0.0059
VRP,6,6,0.0,0.3988,0.0038,0.0091
Ioda,5,5,0.0,0.3878,0.0038,0.0059
KR211V,4,4,0.0,0.3966,0.0035,0.0073
Sabre V4,4,4,0.0,0.3654,0.0035,0.0039
Triumph,4,4,0.0,0.3324,0.0033,0.0014
Blata,4,4,0.0,0.3835,0.0032,0.0055
Padgett Kawasaki,4,4,0.0,0.3943,0.0032,0.0078
BSL,3,3,0.0,0.3713,0.0032,0.0038
Fior-Honda,4,4,0.0,0.4011,0.0032,0.0106
Shell,4,4,0.0,0.3943,0.0031,0.0082
Velocette,3,3,0.0,0.3246,0.0031,0.0006
Morbidelli,3,4,0.0,0.3988,0.003,0.014
Inmotec,2,2,0.0,0.2803,0.003,0.0001
Avintia,2,3,0.0,0.3231,0.003,0.0031
Plaisir,3,3,0.0,0.3899,0.0028,0.0071
Modenas,3,3,0.0,0.3231,0.0028,0.0019
Yamsel,3,3,0.0,0.3966,0.0028,0.0074
Westlake,2,2,0.0,0.3231,0.0026,0.0005
CZ,2,2,0.0,0.3878,0.0024,0.007
MD211VF PROTO,1,1,0.0,0.2737,0.0024,0.0001
Sanvenero,2,2,0.0,0.3835,0.0024,0.007
Husqvarna,2,2,0.0,0.3693,0.0024,0.0041
Muench,1,1,0.0,0.2849,0.0023,0.0001
Maico,1,1,0.0,0.3088,0.0021,0.0004
Smac,1,1,0.0,0.3075,0.0021,0.0006
Manx,1,1,0.0,0.3216,0.0021,0.0005
Bultaco,1,1,0.0,0.3075,0.0021,0.0006
Bianchi,1,1,0.0,0.3035,0.0021,0.0002
Yamaha-Bartol,1,1,0.0,0.3598,0.002,0.0035
HM,1,1,0.0,0.3616,0.002,0.0035
Nava,0,0,0.0,0.0,0.0017,0.0
APR,0,0,0.0,0.0,0.0017,0.0
S&B Suter,0,0,0.0,0.0,0.0017,0.0
Benelli,0,0,0.0,0.0,0.0017,0.0
Monark,0,0,0.0,0.0,0.0017,0.0
Rotax,0,0,0.0,0.0,0.0017,0.0
BCL,0,0,0.0,0.0,0.0017,0.0
FTR Honda,0,0,0.0,0.0,0.0017,0.0
