,degree,strength,betweenness,closeness,pagerank,eigenvector
Jack Findlay,99,236,0.0967,0.3518,0.0119,0.0
Giacomo Agostini,84,217,0.0735,0.3494,0.0102,0.0
Mike Hailwood,43,122,0.0245,0.2912,0.0071,0.0
Alex Barros,96,757,0.1205,0.3449,0.0071,0.0981
Randy Mamola,74,404,0.0518,0.3547,0.0067,0.0026
Billie Nelson,66,120,0.0339,0.3289,0.0064,0.0
Valentino Rossi,84,1093,0.0486,0.2815,0.0064,0.3515
Geoff Duke,37,94,0.0246,0.2828,0.0059,0.0
Boet Van Dulmen,93,245,0.0395,0.3561,0.0057,0.0002
Ron Haslam,77,336,0.0436,0.3573,0.0057,0.0024
Gyula Marsovszky,52,98,0.0165,0.2949,0.0056,0.0
Reg Armstrong,30,78,0.0203,0.2644,0.0055,0.0
Niall Mackenzie,66,380,0.0101,0.3304,0.0054,0.0057
Bruno Kneubühler,64,164,0.1265,0.3692,0.0053,0.0001
Barry Sheene,56,206,0.0287,0.3515,0.005,0.0001
Eddie Lawson,42,358,0.0104,0.338,0.005,0.0032
Loris Capirossi,76,650,0.0533,0.3111,0.005,0.1337
Carlos Checa,68,596,0.007,0.2835,0.005,0.0911
Colin Edwards,73,679,0.0241,0.2806,0.0049,0.1586
Philippe Coulon,62,176,0.009,0.3209,0.0048,0.0
Kenny Roberts Jr,77,493,0.0087,0.2841,0.0047,0.0635
Paddy Driver,37,78,0.0144,0.2875,0.0046,0.0
Nicky Hayden,68,730,0.0157,0.2783,0.0046,0.2094
Marco Papa,72,210,0.029,0.3614,0.0046,0.0009
Phil Read,47,100,0.0515,0.3413,0.0046,0.0
Norick Abe,68,478,0.0168,0.3169,0.0045,0.052
Dickie Dale,38,71,0.0186,0.2628,0.0045,0.0
Steve Parrish,64,152,0.0122,0.3329,0.0043,0.0
Andrea Dovizioso,61,807,0.0046,0.2489,0.0043,0.2845
Cees Doorakkers,62,180,0.0255,0.3544,0.0043,0.0004
Fred Stevens,37,72,0.0155,0.2854,0.0042,0.0
Aleix Espargaro,70,787,0.0087,0.2495,0.0042,0.2115
Umberto Masetti,26,64,0.0151,0.2814,0.0042,0.0
Wayne Gardner,47,298,0.0153,0.3465,0.0042,0.0026
Wolfgang Von Muralt,59,163,0.0103,0.335,0.004,0.0001
Carlo Bandirola,28,54,0.0211,0.2727,0.004,0.0
Alex George,52,77,0.027,0.3231,0.004,0.0
Jeremy Mcwilliams,80,302,0.0484,0.3291,0.0039,0.0178
Nello Pagani,28,53,0.0045,0.2338,0.0039,0.0
Christian Sarron,46,239,0.0094,0.3325,0.0038,0.0011
Alex Criville,48,393,0.0123,0.3153,0.0037,0.0364
Mick Doohan,42,335,0.0063,0.3156,0.0037,0.0126
Jack Brett,28,54,0.0137,0.2586,0.0037,0.0
Fabio Biliotti,57,154,0.0081,0.3402,0.0036,0.0001
Didier De Radigues,54,218,0.0178,0.3499,0.0036,0.001
Daniel Pedrosa,61,654,0.0145,0.276,0.0036,0.263
Marco Lucchinelli,45,156,0.0296,0.3544,0.0036,0.0001
Shinya Nakano,56,438,0.0037,0.2774,0.0036,0.0714
Sete Gibernau,60,427,0.0043,0.2817,0.0036,0.0765
John Williams,45,68,0.0183,0.3189,0.0035,0.0
Franco Uncini,53,163,0.0033,0.3219,0.0035,0.0001
John Hartle,29,61,0.0169,0.2893,0.0034,0.0
Lucio Pedercini,58,184,0.0192,0.3233,0.0034,0.0025
Simon Buckmaster,50,139,0.006,0.3366,0.0034,0.0001
Bob Brown,28,53,0.0042,0.26,0.0033,0.0
Ken Kavanagh,20,49,0.0027,0.2418,0.0032,0.0
Danilo Petrucci,61,527,0.0025,0.228,0.0032,0.1543
Jack Ahearn,27,57,0.0147,0.2889,0.0032,0.0
John Surtees,24,54,0.0119,0.2827,0.0032,0.0
Karl Auer,44,65,0.0135,0.3226,0.0032,0.0
Nobuatsu Aoki,61,313,0.0033,0.2794,0.0032,0.0269
Jurgen Vd Goorbergh,64,271,0.0049,0.2811,0.0032,0.0191
Rob Mcelnea,50,184,0.0043,0.3283,0.0032,0.0007
Maverick Viñales,51,637,0.0015,0.2261,0.0032,0.1953
Raymond Roche,48,178,0.0051,0.3225,0.0032,0.0005
Eddie Laycock,41,144,0.0091,0.3462,0.0031,0.0009
Michael Rudroff,53,148,0.0146,0.3411,0.0031,0.0002
Mike Duff,28,44,0.0141,0.2846,0.0031,0.0
Takazumi Katayama,45,131,0.0146,0.3329,0.003,0.0002
Alberto Pagani,33,54,0.0096,0.3162,0.003,0.0
Marco Gentile,52,130,0.0078,0.3391,0.003,0.0001
John Hopkins,55,365,0.0023,0.2767,0.003,0.0633
Jorge Lorenzo,49,569,0.0007,0.2477,0.003,0.2435
Hector Barbera,53,457,0.0035,0.248,0.003,0.1154
Bo Granath,38,54,0.008,0.3115,0.003,0.0
Jack Miller,56,572,0.0015,0.2277,0.003,0.1454
Max Biaggi,40,380,0.0004,0.2771,0.003,0.0822
Alvaro Bautista,50,505,0.0008,0.2477,0.0029,0.1679
Michel Rougerie,48,92,0.0163,0.3358,0.0029,0.0
Juan Garriga,51,183,0.0159,0.3337,0.0029,0.0032
Marco Melandri,51,413,0.0033,0.2755,0.0029,0.104
Kenny Roberts,28,137,0.0008,0.3163,0.0029,0.0002
Pol Espargaro,55,545,0.0008,0.2266,0.0028,0.1571
Ron Chandler,37,46,0.0089,0.2885,0.0028,0.0
Chas Mortimer,39,55,0.0115,0.3238,0.0028,0.0
Cal Crutchlow,58,511,0.016,0.2614,0.0028,0.1891
Pierfrancesco Chili,49,175,0.0134,0.3245,0.0028,0.0014
Kevin Schwantz,34,237,0.0023,0.3116,0.0028,0.0067
Andy Leuthe,44,107,0.0317,0.3524,0.0028,0.0001
Niggi Schmassman,38,111,0.0181,0.348,0.0027,0.0003
Jack Middelburg,40,114,0.0075,0.3346,0.0027,0.0001
Ernst Hiller,32,44,0.0313,0.2981,0.0027,0.0
Wayne Rainey,27,225,0.0005,0.3084,0.0027,0.0032
Bob Mcintyre,28,41,0.0141,0.2789,0.0027,0.0
Luca Cadalora,49,233,0.0102,0.3229,0.0026,0.0132
Randy De Puniet,47,378,0.0049,0.274,0.0026,0.096
Laurent Naveau,44,147,0.0047,0.3147,0.0026,0.0013
Gianfranco Bonera,37,65,0.0075,0.319,0.0026,0.0
Teuvo Lansivuori,33,76,0.0027,0.3207,0.0026,0.0
Alfredo Milani,20,35,0.0091,0.2639,0.0026,0.0
Marc Marquez,46,511,0.0006,0.2258,0.0026,0.1925
Regis Laconi,53,239,0.0025,0.2794,0.0026,0.0208
Johann Zarco,47,520,0.0006,0.2253,0.0026,0.1425
Garry Mccoy,53,226,0.0041,0.2773,0.0025,0.0255
Toni Elias,54,349,0.003,0.2752,0.0025,0.0768
Bruno Bonhuil,39,96,0.0201,0.3204,0.0025,0.0002
Dave Simmonds,28,46,0.0057,0.3106,0.0025,0.0
John Kocinski,43,223,0.0105,0.3097,0.0025,0.012
Shinichi Ito,51,207,0.0389,0.3215,0.0024,0.0154
Josef Doppler,34,84,0.0099,0.3341,0.0024,0.0
Virginio Ferrari,46,98,0.0206,0.348,0.0024,0.0001
Selwyn Griffiths,25,25,0.0117,0.272,0.0024,0.0
Sean Emmett,42,135,0.0029,0.3141,0.0024,0.0011
William Doran,20,27,0.0076,0.2316,0.0024,0.0
Alan Shepherd,18,41,0.0023,0.2796,0.0024,0.0
Alessandro Valesi,39,96,0.0039,0.321,0.0023,0.0001
Marc Fontan,33,100,0.0019,0.3106,0.0023,0.0001
Sergio Pellandini,43,92,0.0025,0.3156,0.0023,0.0001
Franco Morbidelli,44,448,0.0005,0.2251,0.0023,0.1118
Tommy Robb,32,40,0.0026,0.2778,0.0023,0.0
Peter Williams,25,42,0.0023,0.2887,0.0023,0.0
Erick Offenstadt,30,41,0.004,0.3151,0.0023,0.0
Karel Abraham,60,311,0.008,0.2486,0.0023,0.0691
Makoto Tamada,43,269,0.0016,0.2748,0.0023,0.0486
Tadayuki Okada,38,231,0.001,0.2745,0.0023,0.022
Stefan Bradl,55,407,0.0009,0.2272,0.0023,0.1327
Bradley Smith,47,385,0.0003,0.2266,0.0022,0.1194
Alex Rins,47,428,0.0013,0.2253,0.0022,0.1185
Mike Baldwin,37,112,0.0029,0.3257,0.0022,0.0002
Juan Lopez Mella,48,106,0.0202,0.3497,0.0022,0.0008
Rod Coleman,16,30,0.0025,0.2414,0.0022,0.0
Juan Borja,52,152,0.0117,0.3091,0.0022,0.0076
Takaaki Nakagami,48,404,0.0005,0.2256,0.0022,0.0995
Bernard Garcia,50,134,0.0094,0.3193,0.0021,0.0018
Godfrey Nash,23,33,0.006,0.298,0.0021,0.0
Tadahiko Taira,43,119,0.006,0.3365,0.0021,0.0005
Keith Turner,25,33,0.0031,0.2806,0.0021,0.0
Wil Hartog,30,76,0.0042,0.3383,0.0021,0.0
Leslie Graham,18,27,0.0039,0.2326,0.0021,0.0
Steve Ellis,26,29,0.0073,0.2773,0.0021,0.0
Fabio Quartararo,36,424,0.0003,0.2245,0.0021,0.1047
Gary Hocking,16,33,0.0019,0.2598,0.0021,0.0
Remo Venturi,15,36,0.0028,0.2739,0.0021,0.0
Scott Redding,43,297,0.002,0.2264,0.002,0.0792
Rob Bron,26,36,0.0052,0.316,0.002,0.0
Rob Fitton,23,33,0.0016,0.2804,0.002,0.0
Doug Chandler,35,153,0.0008,0.3078,0.002,0.0041
Alberto Puig,38,173,0.0004,0.2779,0.002,0.012
Werner Giger,29,42,0.0038,0.323,0.002,0.0
Jose Luis Cardoso,47,141,0.0043,0.2717,0.002,0.0075
John Lockett,15,26,0.0015,0.2321,0.002,0.0
Freddie Spencer,35,112,0.0027,0.3247,0.002,0.0004
Derek Minter,20,30,0.0057,0.2603,0.002,0.0
Daryl Beattie,42,165,0.0052,0.3224,0.0019,0.0091
Arciso Artesiani,16,24,0.0021,0.24,0.0019,0.0
Lothar John,21,30,0.0015,0.2721,0.0019,0.0
Gustav Reiner,41,81,0.0027,0.3201,0.0019,0.0001
Chris Vermeulen,40,254,0.0012,0.2732,0.0019,0.062
Angelo Bergamonti,14,34,0.0009,0.2751,0.0019,0.0
Frank Perris,20,22,0.0198,0.2808,0.0019,0.0
Shunji Yatsushiro,32,102,0.0006,0.3009,0.0019,0.0003
Leandro Becheroni,44,75,0.0029,0.3186,0.0019,0.0001
Brad Binder,34,376,0.0003,0.2241,0.0019,0.0861
Miguel Oliveira,45,352,0.0017,0.2254,0.0019,0.0835
Sven Gunnarsson,20,31,0.0067,0.3138,0.0018,0.0
Casey Stoner,34,307,0.0012,0.2718,0.0018,0.1309
Fabio Barchitta,33,72,0.0022,0.3242,0.0018,0.0
Ginger Molloy,19,32,0.0013,0.2706,0.0018,0.0
Hiroshi Aoyama,42,244,0.0042,0.248,0.0018,0.0584
Graeme Crosby,28,76,0.001,0.3217,0.0018,0.0001
Yonny Hernandez,42,236,0.0026,0.2266,0.0018,0.0555
Paul Eickelberg,24,31,0.0073,0.3161,0.0018,0.0
Luca Marini,37,324,0.002,0.2242,0.0018,0.0781
Graziano Rossi,32,65,0.0015,0.3139,0.0018,0.0
Pat Hennen,23,57,0.0005,0.3069,0.0018,0.0
Andrea Iannone,44,333,0.0004,0.2265,0.0018,0.1227
Ivan Carlsson,19,24,0.0024,0.2898,0.0017,0.0
Keith Huewen,37,69,0.0009,0.3125,0.0017,0.0
James Ellison,40,145,0.0087,0.275,0.0017,0.0209
Alex Hofmann,42,191,0.0007,0.2747,0.0017,0.0281
Seppo Rossi,34,49,0.0051,0.3206,0.0017,0.0
Kork Ballington,27,68,0.001,0.3205,0.0017,0.0
Giuseppe Colnago,17,24,0.0084,0.2799,0.0017,0.0
Max Wiener,21,34,0.0051,0.3116,0.0017,0.0
Dieter Braun,30,39,0.0026,0.3207,0.0017,0.0
Alex Marquez,36,329,0.0003,0.2243,0.0017,0.0806
Johnny Cecotto,29,70,0.0019,0.3299,0.0017,0.0
Frederic Protat,35,92,0.0046,0.3059,0.0017,0.002
John Newbold,31,43,0.0032,0.3209,0.0016,0.0
John Cooper,19,28,0.0006,0.2815,0.0016,0.0
Stuart Avant,33,47,0.0067,0.3352,0.0016,0.0
John Dodds,19,26,0.0021,0.2752,0.0016,0.0
Guido Paci,32,53,0.0027,0.3093,0.0016,0.0
Tetsuya Harada,39,135,0.0007,0.2728,0.0016,0.009
Kim Newcombe,23,31,0.0025,0.3174,0.0016,0.0
Francesco Bagnaia,35,305,0.0005,0.2246,0.0016,0.0734
Toshi Arakaki,33,72,0.0028,0.3111,0.0016,0.0005
Cristiano Migliorati,27,81,0.0016,0.3097,0.0016,0.0004
Peter Sjostrom,29,54,0.001,0.3157,0.0016,0.0
Franta Stastny,18,25,0.0017,0.2768,0.0016,0.0
Kevin Magee,27,113,0.0001,0.2964,0.0016,0.0008
Eero Hyvarinen,33,65,0.0012,0.3092,0.0016,0.0
Roger Burnett,33,82,0.0006,0.3004,0.0016,0.0002
Peter Linden,32,60,0.008,0.3405,0.0016,0.0003
Walter Zeller,17,23,0.0068,0.2857,0.0016,0.0
Derek Woodman,16,26,0.0023,0.2775,0.0016,0.0
Bert Schneider,16,21,0.005,0.2752,0.0016,0.0
Sito Pons,34,88,0.003,0.3109,0.0015,0.001
Manfred Fischer,31,56,0.0016,0.3228,0.0015,0.0
Dave Petersen,31,57,0.0005,0.3003,0.0015,0.0
Chris Guy,29,47,0.0012,0.291,0.0015,0.0
Libero Liberati,12,21,0.0041,0.2681,0.0015,0.0
Anthony West,44,147,0.0034,0.2746,0.0015,0.0193
Artie Bell,12,18,0.0044,0.2475,0.0015,0.0
Tito Rabat,44,227,0.0006,0.2259,0.0015,0.0551
Joan Mir,38,284,0.0012,0.2245,0.0015,0.0719
Enea Bastianini,34,275,0.0015,0.224,0.0015,0.0611
Fabio Di Giannantonio,35,256,0.0015,0.212,0.0015,0.0514
Ray Amm,10,23,0.0,0.229,0.0015,0.0
Borge W. Nielsen,29,37,0.0137,0.3344,0.0015,0.0
Peter Van Der Wal,15,23,0.0014,0.2748,0.0015,0.0
Martti Pesonen,18,24,0.0013,0.2779,0.0015,0.0
Rob Punt,30,52,0.0014,0.312,0.0015,0.0
Bernard Fau,31,46,0.0223,0.3481,0.0015,0.0
Lewis Young,19,23,0.0042,0.3034,0.0015,0.0
Steve Baker,19,55,0.0002,0.3059,0.0015,0.0
Neil Hodgson,40,100,0.0054,0.3092,0.0015,0.0052
Bernard Haenggeli,27,56,0.0217,0.3184,0.0015,0.0002
Tom Herron,22,34,0.0045,0.3019,0.0015,0.0
Jean Pierre Jeandat,26,73,0.0014,0.306,0.0015,0.0002
Dominique Sarron,29,63,0.0013,0.305,0.0014,0.0002
Olivier Jacque,42,146,0.0009,0.2745,0.0014,0.0193
Tohru Ukawa,33,149,0.001,0.2727,0.0014,0.0301
Alex De Angelis,42,175,0.0011,0.2474,0.0014,0.0386
Terry Shepherd,13,22,0.0005,0.2562,0.0014,0.0
Sylvain Guintoli,48,159,0.0097,0.2742,0.0014,0.027
Maarten Duyzers,24,43,0.0038,0.3114,0.0014,0.0
Henk De Vries,30,36,0.0028,0.2925,0.0014,0.0
Tevo Lansivuori,24,40,0.0019,0.3157,0.0014,0.0
Serge David,26,66,0.0005,0.3084,0.0014,0.0002
Sebastien Gimbert,28,78,0.0008,0.2642,0.0014,0.0016
Dan Shorey,17,24,0.0004,0.2796,0.0014,0.0
Gerhardt Vogt,22,29,0.0094,0.3101,0.0014,0.0
Charlie Williams,14,15,0.0049,0.2693,0.0014,0.0
Michele Pirro,53,218,0.0015,0.2274,0.0014,0.0569
Marco Bezzecchi,27,255,0.0001,0.2199,0.0014,0.0553
Raul Fernandez,34,238,0.0,0.2029,0.0013,0.048
Pentti Lehtela,13,14,0.0062,0.2799,0.0013,0.0
Terry Dennehy,15,18,0.0022,0.2727,0.0013,0.0
Christian Bourgeois,21,25,0.0027,0.3214,0.0013,0.0
Roberto Gallina,19,22,0.0017,0.2753,0.0013,0.0
Pentti Korhonen,19,23,0.0007,0.2822,0.0013,0.0
Alan Barnett,17,22,0.0002,0.2719,0.0013,0.0
John Reynolds,24,76,0.0005,0.3055,0.0013,0.001
Kevin Mitchell,28,55,0.0266,0.3235,0.0013,0.0004
Pierre Monneret,18,19,0.1028,0.3104,0.0013,0.0
Eduardo Salatino,7,7,0.0065,0.2209,0.0013,0.0
Rodney Gould,13,24,0.0007,0.3039,0.0013,0.0
William-A Smith,13,14,0.0033,0.2719,0.0013,0.0
Armando Toracca,20,30,0.0008,0.3055,0.0013,0.0
Harold Daniell,11,15,0.0011,0.225,0.0013,0.0
Jerry Lancaster,17,19,0.0009,0.2747,0.0012,0.0
James Haydon,29,67,0.0038,0.3019,0.0012,0.0013
Hideo Kanaya,15,24,0.0002,0.2703,0.0012,0.0
Jorge Martin,28,217,0.0002,0.2231,0.0012,0.0482
Maurice Hawthorne,12,14,0.0014,0.2586,0.0012,0.0
Guido Mandracci,15,21,0.0002,0.2703,0.0012,0.0
Michael Laverty,23,112,0.0004,0.2244,0.0012,0.0156
Walter Scheimann,14,19,0.0006,0.2805,0.0012,0.0
Jean Philippe Ruggia,24,76,0.0002,0.3086,0.0012,0.0022
Ben Spies,32,184,0.0001,0.2462,0.0012,0.0715
Lorenzo Ghiselli,23,40,0.0009,0.2839,0.0012,0.0
Alistair King,13,16,0.0014,0.262,0.0012,0.0
Karl Truchsess,27,47,0.0008,0.3121,0.0012,0.0
Auguste Goffin,11,11,0.002,0.2226,0.0012,0.0
Benedicto Caldarella,8,9,0.0067,0.2308,0.0012,0.0
Nikolaj Sevastyanov,10,18,0.0004,0.274,0.0012,0.0
Ron Langston,12,14,0.002,0.2673,0.0012,0.0
Christian Leon,18,22,0.001,0.281,0.0012,0.0
Marc2 Garcia,25,54,0.0215,0.3164,0.0012,0.0002
Jean Michel Bayle,32,107,0.0002,0.274,0.0012,0.0104
Eugene Mcmanus,22,54,0.0011,0.2948,0.0012,0.0003
Haruchika Aoki,30,86,0.0007,0.2688,0.0012,0.0045
Christian Le Liard,30,42,0.0018,0.3053,0.0012,0.0
Helmut Kassner,13,14,0.0057,0.2788,0.0012,0.0
Adrian Bosshard,18,55,0.0001,0.2695,0.0011,0.0002
Jose Kuhn,24,60,0.0012,0.3108,0.0011,0.0004
Matt Wait,16,44,0.0007,0.2613,0.0011,0.0006
Billie Guthrie,12,12,0.0044,0.2797,0.0011,0.0
Marcel Ankone,20,23,0.0032,0.3162,0.0011,0.0
Giampiero Zubani,15,18,0.0013,0.2993,0.0011,0.0
Andrew Stroud,28,53,0.0018,0.3048,0.0011,0.0003
Mark Willis,27,63,0.0005,0.2628,0.0011,0.0014
Jim Redman,15,16,0.0027,0.2803,0.0011,0.0
Ernst Gschwender,18,36,0.0002,0.3021,0.0011,0.0
Keith Bryen,11,13,0.0014,0.2511,0.0011,0.0
Massimo Broccoli,27,45,0.0009,0.3231,0.0011,0.0
Rachel Nicotte,18,40,0.0005,0.3104,0.0011,0.0
Frank Gross,23,38,0.0003,0.2956,0.0011,0.0
Seppo Kangasniemi,12,15,0.002,0.2665,0.0011,0.0
Daniel Amatriain,23,39,0.0007,0.317,0.0011,0.0
