,degree,strength,betweenness,closeness,pagerank,eigenvector
Giacomo Agostini,104,197,0.0914,0.3363,0.0149,0.0001
Jack Findlay,94,151,0.1292,0.3242,0.0136,0.0
Valentino Rossi,93,496,0.092,0.3185,0.0107,0.2834
Marco Papa,118,390,0.058,0.4115,0.0084,0.0055
Bruno Kneubühler,97,286,0.1625,0.3838,0.0075,0.0032
Mick Doohan,91,264,0.0394,0.3584,0.0073,0.0066
Alex Barros,99,272,0.237,0.3871,0.0072,0.0498
Fabio Biliotti,100,334,0.0072,0.3601,0.0072,0.0028
Wolfgang Von Muralt,95,313,0.0078,0.3614,0.0069,0.0026
Simon Buckmaster,101,305,0.0297,0.4028,0.0066,0.0039
Cees Doorakkers,87,283,0.0259,0.3909,0.0066,0.0056
Mike Hailwood,32,53,0.033,0.2657,0.0065,0.0
Marco Gentile,96,293,0.0062,0.3599,0.0064,0.0032
Eddie Lawson,100,299,0.0312,0.4042,0.0064,0.0042
Michael Rudroff,77,259,0.0137,0.3846,0.0058,0.0049
Andrea Dovizioso,50,312,0.0082,0.2528,0.0058,0.2564
Aleix Espargaro,60,329,0.0127,0.2537,0.0058,0.265
Billie Nelson,47,76,0.0197,0.3214,0.0057,0.0
Niggi Schmassman,79,256,0.0279,0.3899,0.0057,0.005
Steve Parrish,78,204,0.0327,0.3661,0.0054,0.0009
Loris Capirossi,62,214,0.0215,0.3124,0.0054,0.0713
Sete Gibernau,60,199,0.0076,0.3126,0.0054,0.057
Nicky Hayden,55,232,0.0229,0.307,0.0052,0.1141
Philippe Coulon,71,180,0.0209,0.3628,0.0051,0.0006
Andy Leuthe,93,228,0.0218,0.3912,0.0051,0.0034
Kenny Roberts,67,179,0.0035,0.3403,0.005,0.0006
Norick Abe,55,165,0.0171,0.3413,0.0049,0.0279
Freddie Spencer,89,211,0.0071,0.3595,0.0049,0.0015
Kenny Roberts Jr,63,161,0.0132,0.3123,0.0049,0.0358
Wayne Gardner,84,222,0.0165,0.3843,0.0048,0.0026
Maverick Viñales,43,278,0.0017,0.249,0.0046,0.2546
Carlos Checa,60,159,0.0084,0.3124,0.0046,0.0298
Gyula Marsovszky,38,56,0.0138,0.3049,0.0046,0.0
Kevin Schwantz,87,193,0.0246,0.3919,0.0046,0.0034
Jack Miller,48,278,0.0033,0.2498,0.0046,0.2435
Barry Sheene,68,113,0.0311,0.3682,0.0045,0.0003
Josef Doppler,83,208,0.0244,0.3953,0.0045,0.0032
Marc Marquez,50,236,0.0064,0.2508,0.0045,0.2014
Wayne Rainey,67,188,0.0116,0.3846,0.0044,0.0038
Randy Mamola,94,173,0.0743,0.4015,0.0043,0.0019
Lucio Pedercini,65,157,0.0118,0.3516,0.0043,0.0036
Alessandro Valesi,75,191,0.0017,0.3527,0.0042,0.0023
Keith Huewen,72,177,0.002,0.3445,0.0042,0.001
Bruno Bonhuil,60,155,0.0059,0.3447,0.0042,0.0024
Max Biaggi,48,149,0.0086,0.3087,0.0042,0.0505
Jorge Lorenzo,59,182,0.0091,0.2523,0.0041,0.1346
Maarten Duyzers,72,189,0.0017,0.3522,0.0041,0.002
Johann Zarco,37,245,0.0015,0.2483,0.004,0.2238
Alex Criville,58,139,0.0379,0.3632,0.004,0.0158
Boet Van Dulmen,76,162,0.0129,0.3531,0.0039,0.0012
Karl Auer,39,57,0.008,0.3111,0.0039,0.0
Daniel Pedrosa,52,179,0.0357,0.3054,0.0039,0.1329
Hector Barbera,42,181,0.0037,0.2515,0.0039,0.0864
Shinya Nakano,38,148,0.0067,0.3058,0.0039,0.0389
Alex Rins,42,223,0.0039,0.2489,0.0038,0.214
Leandro Becheroni,68,167,0.002,0.3463,0.0038,0.0011
Franco Uncini,71,144,0.0046,0.3473,0.0036,0.0008
Franco Morbidelli,40,211,0.0024,0.2484,0.0036,0.1856
Eddie Laycock,56,159,0.0078,0.3799,0.0036,0.0031
Rob Punt,66,155,0.0018,0.3443,0.0036,0.0011
Fabio Barchitta,57,162,0.0005,0.3403,0.0035,0.0019
Jeremy Mcwilliams,66,118,0.0311,0.3608,0.0035,0.0084
Ron Chandler,33,46,0.0055,0.303,0.0035,0.0
Pol Espargaro,43,204,0.0019,0.249,0.0035,0.1704
Danilo Petrucci,48,185,0.0036,0.2506,0.0035,0.1582
Fabio Quartararo,35,217,0.0012,0.2477,0.0035,0.1946
Libero Liberati,6,7,0.0001,0.0095,0.0034,0.0
Marco Melandri,41,141,0.009,0.3041,0.0034,0.0539
Manfred Fischer,64,161,0.001,0.3497,0.0034,0.0016
Chris Guy,51,145,0.0006,0.3398,0.0034,0.0008
John Surtees,12,18,0.0056,0.2055,0.0033,0.0
Garry Mccoy,44,100,0.0083,0.3052,0.0033,0.0273
Colin Edwards,49,133,0.0214,0.3076,0.0033,0.0533
Paddy Driver,17,24,0.0258,0.2576,0.0033,0.0
Brad Binder,30,209,0.001,0.2464,0.0033,0.1913
Laurent Naveau,48,124,0.0022,0.338,0.0033,0.0024
Cal Crutchlow,38,173,0.0029,0.2489,0.0032,0.162
Regis Laconi,38,86,0.0078,0.3041,0.0031,0.0105
John Hopkins,41,113,0.0048,0.306,0.0031,0.0294
Peter Sjostrom,55,120,0.002,0.3409,0.0031,0.0005
Jack Middelburg,55,97,0.0079,0.3541,0.003,0.0003
Alberto Pagani,29,38,0.0044,0.3012,0.003,0.0
Serge David,43,125,0.0009,0.3413,0.003,0.0026
Takaaki Nakagami,42,168,0.0023,0.2488,0.0029,0.145
Francesco Bagnaia,32,175,0.0033,0.2474,0.0029,0.1657
Juan Lopez Mella,61,118,0.0086,0.367,0.0029,0.0017
Gianfranco Bonera,33,49,0.0038,0.3082,0.0029,0.0
Alex George,43,55,0.0084,0.3244,0.0029,0.0001
Miguel Oliveira,38,168,0.0026,0.2483,0.0029,0.1509
Dave Simmonds,29,36,0.0112,0.3092,0.0029,0.0
Selwyn Griffiths,10,10,0.0122,0.2445,0.0028,0.0
Ron Haslam,67,124,0.025,0.3901,0.0028,0.0015
Borge W. Nielsen,55,100,0.008,0.3554,0.0028,0.0005
Godfrey Nash,27,35,0.0013,0.2637,0.0028,0.0
Lothar John,25,36,0.0045,0.3089,0.0028,0.0
Paul Eickelberg,28,36,0.0033,0.2943,0.0028,0.0
Eero Hyvarinen,61,126,0.0016,0.3465,0.0028,0.001
Gustav Reiner,59,120,0.0017,0.3469,0.0028,0.0009
Phil Read,29,34,0.0343,0.3221,0.0028,0.0
Randy De Puniet,33,121,0.0069,0.3006,0.0028,0.0499
John Williams,28,40,0.0016,0.3001,0.0027,0.0
Paolo Ferretti,56,113,0.0014,0.3423,0.0027,0.0007
Alvaro Bautista,38,138,0.002,0.2512,0.0027,0.1024
Raymond Roche,61,99,0.0031,0.3459,0.0026,0.0006
Alex Marquez,30,155,0.0014,0.2472,0.0026,0.1435
Tadayuki Okada,33,87,0.0015,0.3046,0.0026,0.0113
Nobuatsu Aoki,30,89,0.0014,0.2976,0.0026,0.0162
Dominique Sarron,42,112,0.0068,0.3754,0.0026,0.0025
Luca Marini,29,160,0.0011,0.2469,0.0026,0.1479
Enea Bastianini,30,144,0.0024,0.2467,0.0025,0.1328
Dave Petersen,48,110,0.0006,0.3369,0.0025,0.001
Casey Stoner,31,104,0.0055,0.3,0.0025,0.0575
