node,community
Jock West,0
Leslie Graham,0
William Doran,0
Arciso Artesiani,0
Nello Pagani,0
Bruno Bertacchini,1
Enrico Lorenzetti,1
Gianni Leoni,1
Guido Leoni,1
Artie Bell,0
Cromie Mccandless,0
Harold Daniell,0
John Lockett,0
Fred Stevens,0
Sid Jensen,0
Ernie Lyons,3
Freddie Frith,3
E. Frend,0
Alfredo Milani,0
Carlo Bandirola,0
Umberto Masetti,0
Dickie Dale,0
Eric Hinton,0
Eric Mcpherson,0
Geoff Duke,0
Harry Hinton,0
Keith Armstrong,0
Reg Armstrong,0
Benoit Musy,1
Bruno Ruffo,1
Fergus Anderson,1
A. Parry,0
Cromie McCandless,0
Ernesto Vidal,0
Jack Brett,0
Ken Kavanagh,0
Manliefe Barrington,0
Phillip McCallen,0
Roger Montane,0
Tommy Wood,0
V. Perry,0
Willy Lips,0
Bill Lomas,0
Rod Coleman,0
Giuseppe Colnago,0
Auguste Goffin,0
John Surtees,0
Phil Carter,0
Ray Amm,0
Sid Lawton,0
Derek Farrant,0
Libero Liberati,0
Cecyl Sandford,0
Hermann Paul Müller,0
Ken Mudford,0
Peter Davey,0
Bob Mcintyre,0
Leon Martin,0
Pierre Monneret,5
Bob Matthews,0
G. Julian,0
Jaques Collot,0
John Clark,0
Keith Campbell,0
Luigi Taveri,0
Máté Laczko,0
Rudy Allison,0
Ernst Riedelbauch,0
Walter Zeller,0
Dreikus Veer,0
Orlando Valdinoci,0
Tino Forconi,0
Bob Brown,0
Derek Ennett,0
George Murphy,0
Duilio Agostini,0
Eddie Grant,0
Firmin Dauwe,0
Jack Ahearn,0
John Hartle,0
John Storr,0
Ernst Hiller,0
P.B. Fahey,0
Geoffrey Tanner,0
Keith Bryen,0
R.W. Herron,0
Hans Gunter Jaeger,0
Terry Shepherd,0
Alan Trow,0
Derek Minter,0
Mike O'rourke,0
Remo Venturi,0
Bob Anderson,0
Dave Chadwick,0
Gary Hocking,0
J.D. Anderson,0
Mike Hailwood,0
A. Huber,0
Alistair King,0
Jack Findlay,0
Jim Redman,0
John Hempleman,0
Paddy Driver,0
Ron Miles,0
Emilio Mendogni,0
Ladi Richter,0
Ralph Rensen,0
Rudolf Glaeser,0
Tom Phillis,0
John Lothar,0
Fritz Messerli,0
Jorge Kissling,0
Mike Duff,0
Roland Föll,0
Ron Langston,0
Alberto Pagani,0
Anssi Resko,6
Antonie Paba,0
Bert Schneider,0
Eduardo Salatino,0
Frank Perris,0
G. Costa,0
Gyula Marsovszky,0
Juan Salatino,0
Peter Chatterton,0
Peter Pawson,0
Phil Read,0
S. Perkins,0
Tom Thorp,0
Tony Godfrey,0
Trevor Farnsworth,0
Alan Shepherd,0
Benedicto Caldarella,0
Paolo Gamberini,0
Brian Setchell,0
Ellis Boyce,0
F. Soler,0
H. Karlsson,0
Ray Spence,0
Richard Ingram,0
S. Pomesano,0
Sven Gunnarsson,0
Sid Mizen,0
Victorio Minguzzi,0
F. Villavelran,0
J. Acosta,0
Ralph Bryans,0
Vasco Loro,0
Vernon Cottle,0
William-A Smith,0
Derek Woodman,0
Lewis Young,0
W. Mccosh,0
Buddy Parriott,0
Chris Conn,0
Eriff Jenkins,0
Morry Low,0
R. Creith,0
Rob Fitton,0
Walter Scheimann,0
Giacomo Agostini,6
Jouko Ryhanen,0
Selwyn Griffiths,0
Billie Nelson,6
D. Loyd,0
Dan Shorey,0
Ed Labelle,0
Edy Lenz,0
Iean Noel Burne,0
Joe Dunphy,0
John Cooper,0
Ken King,0
Ray Beaumont,0
John Blanchard,0
Peter Williams,0
Ron Chandler,0
Stuart Graham,0
Jeff Mawby,0
Malcom Stanton,0
D. Lloyd,0
George Rockett,0
John Dodds,0
Rodney Gould,0
Steve Spencer,0
Angelo Bergamonti,6
Bernard Lund,0
Barry Randle,0
Godfrey Nash,0
Kel Carruthers,0
Rex Butcher,0
Silvano Bertarelli,0
Brian Ball,0
Gilberto Milani,0
Steve Ellis,6
Keith Turner,0
Wolfgang Stropek,6
Esko Kuparinen,7
Gilbert Argo,0
Gunter Fischer,0
J. O'brien,0
Karl Auer,6
Maurice Hawthorne,0
O. Hansen,0
Pentti Lehtela,6
Werner Bergold,0
Alan Barnett,0
John Williams,6
Karl Hoppe,0
A.T. Lawton,0
Albergian Louwes,0
Barry Scully,0
Emanuele Maugliani,0
Franco Trabalzini,0
J.T. Findlay,0
Malcolm Uphill,0
Paul Eickelberg,0
Peter Darvill,0
Ross Hannan,0
Andre Luc Appietto,6
Brian Steenson,0
Jack Linah,0
Paolo Campanelli,0
Steve Jolly,0
Tom Dickie,0
Walter Rüngg,6
Jean Campiche,0
Terry Dennehy,0
Christian Ravel,0
Dave Simmonds,0
Erick Offenstadt,0
Giampiero Zubani,0
Ginger Molloy,0
Giovanni Perrone,0
Martin Carney,0
Tony Jefferies,6
Brian Adams,0
Gerry Mateer,0
Roberto Gallina,6
Charlie Dobson,0
Paul Smart,0
Percy Tait,6
Tommy Robb,6
Vincent Duckett,0
Hans Otto Butenuth,8
K. Bertsch,8
Benjamin Grau,9
Hansrudolf Bruengger,9
Jean Vivesse Bordons,9
Giuseppe Mongardi,0
Gordon Pantall,6
Johnny Bengtsson,6
Peter Van Der Wal,6
Roger Sutcliffe,0
Rob Noorlander,0
Stan Woods,8
Charlie Sanby,6
Jim Curry,6
Kaarlo Koivuniemi,6
Tom Herron,6
Ulf Nilsson,6
Peter Jones,0
Rob Bron,6
Donnie Robinson,6
Horst Dzierzawa,6
Ivan Carlsson,6
Jerry Lancaster,6
Lothar John,6
Matti Salonen,6
Bruno Spaggiari,0
Sergio Baroncini,0
Bo Granath,6
Carlo Marelli,0
Klaus Huber,0
Mike Grant,7
Kim Newcombe,0
Kevin Cowley,6
Paul Cott,6
Andre Pogolotti,6
Clive Brown,6
Derek Lee,6
Guido Mandracci,6
Bruno Kneubühler,7
Charlie Williams,6
Chas Mortimer,6
Christian Bourgeois,6
Derek Chatterton,6
Hideo Kanaya,6
Pentti Korhonen,6
Seppo Kangasniemi,6
Gianfranco Bonera,8
Michel Rougerie,8
Christian Leon,6
Graham Bailey,6
Jean Francois Baldé,6
Jean Paul Boinet,6
Reinhard Hiller,0
Udo Kochanski,0
Dave Hughes,0
Bo Brolin,6
Chris Taylor,5
Jerome Van Halter,6
Peter Stocksiefen,6
Roger Nichols,6
Alex George,8
Bohumil Stasa,7
Borge W. Nielsen,8
Georg Pohlmann,6
Jarno Saarinen,6
Marcel Ankone,6
Mario Lega,6
Werner Giger,6
Wil Hartog,8
Geoff Barry,0
Barry Sheene,8
Billie Guthrie,6
Dieter Braun,6
Edmund Czihak,6
Horst Kassner,6
Patrick Pons,6
Pete Mckinley,6
Phil Carpenter,6
Philippe Coulon,8
Philippe Gerard,6
R. Jimenez,6
Teuvo Lansivuori,8
Tony Rutter,6
Victor Palomo,6
Walter Kaletsch,6
Alan North,8
Horst Lahfeld,6
Armando Toracca,8
John Newbold,8
Tevo Lansivuori,8
Adu Celso-santos,6
Bernard Fau,8
Bjorn Hasli,6
Edmar Ferreira,6
Francis Holleberg,6
Gerard Choukroun,6
Hans Braumandl,6
Hans Stadelmann,6
Helmut Kassner,6
Kjell Solberg,6
Les Kenny,6
