node,community
Libero Liberati,0
Bob Mcintyre,0
Derek Minter,0
Mike O'rourke,0
Hans Gunter Jaeger,0
Terry Shepherd,0
Umberto Masetti,0
Geoff Duke,3
Alfredo Milani,3
John Surtees,3
Dickie Dale,3
Gary Hocking,3
John Hartle,3
Bob Anderson,3
Carlo Bandirola,3
Dave Chadwick,3
Bob Brown,3
Ken Kavanagh,3
John Hempleman,3
A. Huber,3
Paddy Driver,3
Ladi Richter,3
Fumio Ito,3
Remo Venturi,3
Jack Findlay,3
Ralph Rensen,3
Jim Redman,3
Ron Miles,3
Trevor Farnsworth,3
Anssi Resko,3
Peter Chatterton,3
Tom Thorp,3
Mike Hailwood,3
Alistair King,3
Fred Stevens,3
Bert Schneider,3
Franta Stastny,3
Silvio Grassetti,3
Phil Read,3
Alan Shepherd,4
H. Karlsson,4
Roland Föll,4
Benedicto Caldarella,5
Juan Salatino,5
Paolo Gamberini,5
S. Pomesano,5
F. Soler,5
Ralph Bryans,3
Mike Duff,3
Morry Low,3
Jack Ahearn,3
Nikolaj Sevastyanov,3
Derek Woodman,3
Ray Beaumont,3
Ken King,3
Ed Labelle,3
D. Loyd,3
Walter Scheimann,3
Edy Lenz,3
Billie Nelson,3
Dan Shorey,3
Iean Noel Burne,3
Giacomo Agostini,3
Jouko Ryhanen,3
Lewis Young,3
John Cooper,3
Stuart Graham,3
Gyula Marsovszky,3
Eric Hinton,3
Chris Conn,3
Peter Williams,3
John Dodds,3
Angelo Bergamonti,3
Giuseppe Mandolini,3
D. Lloyd,3
Andrea Georgeades,3
George Rockett,3
Rex Butcher,3
Brian Ball,8
Barry Randle,8
Rob Fitton,3
Kel Carruthers,3
Alberto Pagani,3
Silvano Bertarelli,3
Karl Hoppe,3
Gilberto Milani,3
Godfrey Nash,3
Ron Chandler,3
Selwyn Griffiths,3
Peter Darvill,3
Karl Auer,3
Alan Barnett,3
Tom Dickie,3
Andre Luc Appietto,3
Werner Bergold,3
Malcolm Uphill,3
Barry Scully,3
J.T. Findlay,3
John Williams,3
Bohumil Stasa,3
A.T. Lawton,3
Terry Dennehy,3
Brian Steenson,3
Paolo Campanelli,3
Albergian Louwes,3
Esko Kuparinen,2
Steve Ellis,3
Keith Turner,3
Pentti Lehtela,3
Paul Eickelberg,3
Emanuele Maugliani,3
Ross Hannan,3
Maurice Hawthorne,3
Christian Ravel,3
Erick Offenstadt,3
Brian Adams,3
Tommy Robb,3
Ginger Molloy,3
Paul Smart,3
Rob Bron,3
Ernst Hiller,3
Martti Pesonen,3
Hans Otto Butenuth,3
Jean Campiche,3
Giampiero Zubani,3
Roberto Gallina,3
Giovanni Perrone,3
Vasco Loro,3
Martin Carney,3
Dave Simmonds,3
Gordon Keith,3
Lothar John,3
K. Bertsch,3
Horst Dzierzawa,3
Gordon Pantall,3
Bo Granath,3
Rob Noorlander,3
Ivan Carlsson,3
Frank Perris,3
Jerry Lancaster,3
Peter Van Der Wal,3
Hansrudolf Bruengger,3
Kaarlo Koivuniemi,3
Matti Salonen,3
Tom Herron,3
Donnie Robinson,3
Stan Woods,3
Giuseppe Mongardi,3
Peter Jones,3
Jean Vivesse Bordons,3
Benjamin Grau,3
Bruno Kneubühler,2
Christian Bourgeois,3
Sergio Baroncini,3
Carlo Marelli,3
Bruno Spaggiari,3
Klaus Huber,3
Guido Mandracci,3
Charlie Dobson,3
Chas Mortimer,3
Rodney Gould,3
Hideo Kanaya,3
Seppo Kangasniemi,3
Sven Gunnarsson,3
Kim Newcombe,3
Ulf Nilsson,3
Pentti Korhonen,3
Derek Lee,3
Johnny Bengtsson,3
Getulio Marcasini,3
Jarno Saarinen,3
Jean Francois Baldé,3
Roger Nichols,3
Dave Hughes,3
Chris Taylor,3
Graham Bailey,3
Werner Giger,3
Derek Chatterton,3
Georg Pohlmann,3
Bo Brolin,3
Alex George,3
Jean Paul Boinet,3
Borge W. Nielsen,1
R. Jimenez,3
Gianfranco Bonera,3
Barry Sheene,1
Dieter Braun,3
Christian Leon,3
Geoff Barry,3
Charlie Williams,3
Victor Palomo,3
Patrick Pons,1
Teuvo Lansivuori,3
Philippe Coulon,1
Michel Rougerie,1
Armando Toracca,1
Adu Celso-santos,3
John Newbold,3
Tierry Tchernine,3
Bernard Fau,1
Rudolph Keller,3
Hans Stadelmann,3
Edmar Ferreira,3
Pekka Nurmi,3
Boet Van Dulmen,1
Stuart Avant,1
Virginio Ferrari,1
Helmut Kassner,3
Dave Potter,1
Pat Hennen,1
Christian Estrosi,1
Steve Parrish,1
Alan North,1
Franz Heller,3
Michael Schmid,3
Max Wiener,1
Steve Baker,1
Marco Lucchinelli,1
Johnny Cecotto,1
Jean Philippe Orban,1
Kenny Roberts,1
Graziano Rossi,1
Carlo Perugini,1
Kenny Blake,1
Gianni Rolando,1
Wil Hartog,1
Takazumi Katayama,1
Dennis Ireland,1
Clive Padgett,1
Dick Alblas,1
Gerhardt Vogt,1
Jack Middelburg,1
Roberto Pietri,1
Christian Sarron,1
Sergio Pellandini,1
Henk De Vries,1
Franco Uncini,1
Gianni Pelletier,1
Seppo Rossi,1
Randy Mamola,1
Ikujiro Takai,1
Lennart Backstrom,1
Willem Zoet,1
Peter Sjostrom,1
John Woodley,1
Herve Guilleux,2
Maurizio Massimiani,1
Guido Paci,1
Richard Hubin,1
Graeme Crosby,1
Kork Ballington,1
Raymond Roche,1
Sadao Asami,1
Patrick Fernandez,1
Jeffrey Sayle,1
Gustav Reiner,1
Michel Frutschi,1
Leandro Becheroni,1
Kimmo Kopra,1
Frank Gross,1
Marc Fontan,1
Greg Hansford,1
Keith Huewen,1
Andreas Hofmann,1
Jodef Hage,1
Barry Woodland,1
Freddie Spencer,1
