,degree
Harold Daniell,11
John Lockett,15
Ernie Lyons,4
Artie Bell,12
Sid Jensen,5
Fred Stevens,37
Leslie Graham,18
Arciso Artesiani,16
Nello Pagani,28
Freddie Frith,3
Guido Leoni,3
William Doran,20
Jock West,6
Cromie Mccandless,4
Enrico Lorenzetti,12
Gianni Leoni,4
Bruno Bertacchini,3
Umberto Masetti,26
E. Frend,4
Carlo Bandirola,28
Eric Hinton,4
Geoff Duke,37
Keith Armstrong,3
Reg Armstrong,30
Harry Hinton,4
Eric Mcpherson,3
Dickie Dale,38
Alfredo Milani,20
Tommy Wood,8
Roger Montane,4
Ernesto Vidal,2
Fergus Anderson,8
Benoit Musy,3
Willy Lips,2
Jack Brett,28
V. Perry,2
Cromie McCandless,4
Phillip McCallen,4
Manliefe Barrington,3
A. Parry,2
Ken Kavanagh,20
Bruno Ruffo,3
Rod Coleman,16
Ray Amm,10
Bill Lomas,9
Phil Carter,3
John Surtees,24
Giuseppe Colnago,17
Sid Lawton,5
Auguste Goffin,11
Hans Baltisberger,2
Peter Davey,2
Derek Farrant,5
Ken Mudford,2
Libero Liberati,12
Cecyl Sandford,3
Hermann Paul Müller,2
Pierre Monneret,18
Jaques Collot,7
Luigi Taveri,4
Bob Matthews,3
G. Julian,2
Rudy Allison,3
Máté Laczko,2
Leon Martin,8
Bob Mcintyre,28
Keith Campbell,9
George Murphy,8
John Clark,4
Orlando Valdinoci,4
Tino Forconi,6
Walter Zeller,17
Jack Ahearn,27
Firmin Dauwe,2
Duilio Agostini,4
John Storr,2
Derek Ennett,4
Ernst Riedelbauch,2
Dreikus Veer,4
Bob Brown,28
Eddie Grant,6
John Hartle,29
Keith Bryen,11
P.B. Fahey,3
Ernst Hiller,32
Geoffrey Tanner,8
R.W. Herron,3
Terry Shepherd,13
Alan Trow,2
Derek Minter,20
Mike O'rourke,3
Hans Gunter Jaeger,6
Gary Hocking,16
Bob Anderson,6
Dave Chadwick,5
J.D. Anderson,2
Remo Venturi,15
Alistair King,13
D.T. Powell,4
Paddy Driver,37
John Hempleman,8
A. Huber,2
Jim Redman,15
Ron Miles,4
Ladi Richter,6
Fumio Ito,2
Emilio Mendogni,8
Mike Hailwood,43
Tom Phillis,9
Alan Shepherd,18
Ralph Rensen,4
Rudolf Glaeser,2
Jack Findlay,99
Ron Langston,12
Tony Godfrey,8
Frank Perris,20
John Lothar,2
Phil Read,47
Antonie Paba,4
Gyula Marsovszky,52
Fritz Messerli,3
Roland Föll,6
Mike Duff,28
Bert Schneider,16
Trevor Farnsworth,4
Anssi Resko,8
Peter Chatterton,3
Tom Thorp,3
Alberto Pagani,33
Jorge Kissling,5
Juan Salatino,6
S. Perkins,4
Eduardo Salatino,7
G. Costa,2
Peter Pawson,2
Ellis Boyce,3
Richard Ingram,3
Brian Setchell,2
Franta Stastny,18
Silvio Grassetti,4
Ray Spence,2
Sven Gunnarsson,20
H. Karlsson,3
Benedicto Caldarella,8
Paolo Gamberini,4
S. Pomesano,3
F. Soler,2
Ralph Bryans,3
Victorio Minguzzi,4
F. Villavelran,3
J. Acosta,2
Vernon Cottle,2
